title,author,price,rating,link
Starting Out with Java: From Control Structures through Objects (What's New in Computer Science),Tony Gaddis,19.99,4.6,https://www.amazon.com/Starting-Out-Java-Structures-Computer-ebook/dp/B0CHZ2R1G1/ref=sr_1_27?crid=10WY3BHOH23YO&dib=eyJ2IjoiMSJ9.2vmW2ZQCtI40zpLfP4KwAlrAV4YmSKZRnv8hHsZO_o1nNxV2hyvmKGPJLkLBaYXvOgp3XVVmjoTb3ELUvCQ7SP2UjeQ4ewQnNU0fUOJIt98ktW7fL7im-UnAgoIGqbHiyb93NKdCvM7lZnnVX45AvzThER2m-9RFO5F_Xxzs-uE.HOhRxhaAWDwffKo2rTid2eWror_Q7F-0g67mYrmR8ms&dib_tag=se&keywords=Java&qid=1725980918&s=books&sprefix=%2Cstripbooks-intl-ship%2C175&sr=1-27
Java All-in-One For Dummies,Doug Lowe,22.98,4.4,https://www.amazon.com/Java-All-One-Dummies-Doug/dp/1119986648/ref=sr_1_4?crid=10WY3BHOH23YO&dib=eyJ2IjoiMSJ9.aaMxX7AxL-jwp6dar1HP7PdIio5bW-c-iIgjqsRrydv5hsCL3WJwbcGthFEY_YP-OnxG8HasR0J-pc76jKQ0fP9J_llnNwvFfBNdoMDvE_0xQUWONMhLAdpe-G7hXOJAoen6SgSQdw-6V-4wWxo5oDsnnVCd9KbwYEdOpz8BsWEPoafW7ZVtHXvWAoYqarDF4OO6oJ_TOElv8PG24cRUdEcq8l0R1WSOKDV34d5zvxE.9dJoNtSeIjZS2lb9m1qNXtwts6YeJAYvxTQOcOAMfAM&dib_tag=se&keywords=Java&qid=1725980810&s=books&sprefix=%2Cstripbooks-intl-ship%2C175&sr=1-4
Think Java: How to Think Like a Computer Scientist,Allen Downey,24.59,4.6,https://www.amazon.com/Think-Java-Like-Computer-Scientist/dp/1492072508/ref=sr_1_17?crid=10WY3BHOH23YO&dib=eyJ2IjoiMSJ9.VaKxYuZ2NyPsmN8tQQTe1RgSlm7JKYGIKxdiaR_AsTb68uw05ZLlgG20A46-6TUpPmnhnYZUEzMsZUCWqy6XQg.jDjRwd9SIWwRYmSXnZMzd1zKk3IvzpKEaymrrAC7VUM&dib_tag=se&keywords=Java&qid=1725980918&s=books&sprefix=%2Cstripbooks-intl-ship%2C175&sr=1-17
Learn Java the Easy Way: A Hands-On Introduction to Programming,Bryson Payne,24.89,4.5,https://www.amazon.com/Learn-Java-Easy-Way-Hands/dp/1593278055/ref=sr_1_5?crid=10WY3BHOH23YO&dib=eyJ2IjoiMSJ9.aaMxX7AxL-jwp6dar1HP7PdIio5bW-c-iIgjqsRrydv5hsCL3WJwbcGthFEY_YP-OnxG8HasR0J-pc76jKQ0fP9J_llnNwvFfBNdoMDvE_0xQUWONMhLAdpe-G7hXOJAoen6SgSQdw-6V-4wWxo5oDsnnVCd9KbwYEdOpz8BsWEPoafW7ZVtHXvWAoYqarDF4OO6oJ_TOElv8PG24cRUdEcq8l0R1WSOKDV34d5zvxE.9dJoNtSeIjZS2lb9m1qNXtwts6YeJAYvxTQOcOAMfAM&dib_tag=se&keywords=Java&qid=1725980810&s=books&sprefix=%2Cstripbooks-intl-ship%2C175&sr=1-5
"Java Performance: In-Depth Advice for Tuning and Programming Java 8, 11, and Beyond",Scott Oaks,26.46,4.6,https://www.amazon.com/Java-Performance-Depth-Advice-Programming/dp/1492056111/ref=sr_1_21?crid=10WY3BHOH23YO&dib=eyJ2IjoiMSJ9.VaKxYuZ2NyPsmN8tQQTe1RgSlm7JKYGIKxdiaR_AsTb68uw05ZLlgG20A46-6TUpPmnhnYZUEzMsZUCWqy6XQg.jDjRwd9SIWwRYmSXnZMzd1zKk3IvzpKEaymrrAC7VUM&dib_tag=se&keywords=Java&qid=1725980918&s=books&sprefix=%2Cstripbooks-intl-ship%2C175&sr=1-21
"Modern Java in Action: Lambdas, streams, functional and reactive programming",Raoul-Gabriel Urma,27.49,4.5,https://www.amazon.com/Modern-Java-Action-functional-programming/dp/1617293563/ref=sr_1_19?crid=10WY3BHOH23YO&dib=eyJ2IjoiMSJ9.VaKxYuZ2NyPsmN8tQQTe1RgSlm7JKYGIKxdiaR_AsTb68uw05ZLlgG20A46-6TUpPmnhnYZUEzMsZUCWqy6XQg.jDjRwd9SIWwRYmSXnZMzd1zKk3IvzpKEaymrrAC7VUM&dib_tag=se&keywords=Java&qid=1725980918&s=books&sprefix=%2Cstripbooks-intl-ship%2C175&sr=1-19
"Java: A Beginner's Guide, Tenth Edition",Herbert Schildt,28.25,5.0,https://www.amazon.com/Java-Beginners-Guide-Herbert-Schildt/dp/1265054630/ref=sr_1_14?crid=10WY3BHOH23YO&dib=eyJ2IjoiMSJ9.aaMxX7AxL-jwp6dar1HP7PdIio5bW-c-iIgjqsRrydv5hsCL3WJwbcGthFEY_YP-OnxG8HasR0J-pc76jKQ0fP9J_llnNwvFfBNdoMDvE_0xQUWONMhLAdpe-G7hXOJAoen6SgSQdw-6V-4wWxo5oDsnnVCd9KbwYEdOpz8BsWEPoafW7ZVtHXvWAoYqarDF4OO6oJ_TOElv8PG24cRUdEcq8l0R1WSOKDV34d5zvxE.9dJoNtSeIjZS2lb9m1qNXtwts6YeJAYvxTQOcOAMfAM&dib_tag=se&keywords=Java&qid=1725980810&s=books&sprefix=%2Cstripbooks-intl-ship%2C175&sr=1-14
Effective Java,Joshua Bloch,29.04,4.7,https://www.amazon.com/Effective-Java-Joshua-Bloch/dp/0134685997/ref=sr_1_3?crid=10WY3BHOH23YO&dib=eyJ2IjoiMSJ9.aaMxX7AxL-jwp6dar1HP7PdIio5bW-c-iIgjqsRrydv5hsCL3WJwbcGthFEY_YP-OnxG8HasR0J-pc76jKQ0fP9J_llnNwvFfBNdoMDvE_0xQUWONMhLAdpe-G7hXOJAoen6SgSQdw-6V-4wWxo5oDsnnVCd9KbwYEdOpz8BsWEPoafW7ZVtHXvWAoYqarDF4OO6oJ_TOElv8PG24cRUdEcq8l0R1WSOKDV34d5zvxE.9dJoNtSeIjZS2lb9m1qNXtwts6YeJAYvxTQOcOAMfAM&dib_tag=se&keywords=Java&qid=1725980810&s=books&sprefix=%2Cstripbooks-intl-ship%2C175&sr=1-3
Head First Java: A Brain-Friendly Guide,Kathy Sierra,29.86,4.7,https://www.amazon.com/Head-First-Java-Brain-Friendly-Guide/dp/1491910771/ref=sr_1_1?crid=10WY3BHOH23YO&dib=eyJ2IjoiMSJ9.aaMxX7AxL-jwp6dar1HP7PdIio5bW-c-iIgjqsRrydv5hsCL3WJwbcGthFEY_YP-OnxG8HasR0J-pc76jKQ0fP9J_llnNwvFfBNdoMDvE_0xQUWONMhLAdpe-G7hXOJAoen6SgSQdw-6V-4wWxo5oDsnnVCd9KbwYEdOpz8BsWEPoafW7ZVtHXvWAoYqarDF4OO6oJ_TOElv8PG24cRUdEcq8l0R1WSOKDV34d5zvxE.9dJoNtSeIjZS2lb9m1qNXtwts6YeJAYvxTQOcOAMfAM&dib_tag=se&keywords=Java&qid=1725980810&s=books&sprefix=%2Cstripbooks-intl-ship%2C175&sr=1-1
A Functional Approach to Java: Augmenting Object-Oriented Java Code with Functional Principles,Ben Weidig,32.39,4.4,https://www.amazon.com/Functional-Approach-Java-Augmenting-Object-Oriented/dp/1098109929/ref=sr_1_19?crid=10WY3BHOH23YO&dib=eyJ2IjoiMSJ9.2vmW2ZQCtI40zpLfP4KwAlrAV4YmSKZRnv8hHsZO_o1nNxV2hyvmKGPJLkLBaYXvOgp3XVVmjoTb3ELUvCQ7SP2UjeQ4ewQnNU0fUOJIt98ktW7fL7im-UnAgoIGqbHiyb93NKdCvM7lZnnVX45AvzThER2m-9RFO5F_Xxzs-uE.HOhRxhaAWDwffKo2rTid2eWror_Q7F-0g67mYrmR8ms&dib_tag=se&keywords=Java&qid=1725980918&s=books&sprefix=%2Cstripbooks-intl-ship%2C175&sr=1-19
"Java: The Complete Reference, Twelfth Edition",Herbert Schildt,34.44,4.6,https://www.amazon.com/Java-Complete-Reference-Herbert-Schildt/dp/1260463419/ref=sr_1_12?crid=10WY3BHOH23YO&dib=eyJ2IjoiMSJ9.aaMxX7AxL-jwp6dar1HP7PdIio5bW-c-iIgjqsRrydv5hsCL3WJwbcGthFEY_YP-OnxG8HasR0J-pc76jKQ0fP9J_llnNwvFfBNdoMDvE_0xQUWONMhLAdpe-G7hXOJAoen6SgSQdw-6V-4wWxo5oDsnnVCd9KbwYEdOpz8BsWEPoafW7ZVtHXvWAoYqarDF4OO6oJ_TOElv8PG24cRUdEcq8l0R1WSOKDV34d5zvxE.9dJoNtSeIjZS2lb9m1qNXtwts6YeJAYvxTQOcOAMfAM&dib_tag=se&keywords=Java&qid=1725980810&s=books&sprefix=%2Cstripbooks-intl-ship%2C175&sr=1-12
"Core Java: Fundamentals, Volume 1 (Oracle Press Java)",Cay Horstmann,43.32,4.7,https://www.amazon.com/Core-Java-Fundamentals-Oracle-Press/dp/0137673620/ref=sr_1_16?crid=10WY3BHOH23YO&dib=eyJ2IjoiMSJ9.aaMxX7AxL-jwp6dar1HP7PdIio5bW-c-iIgjqsRrydv5hsCL3WJwbcGthFEY_YP-OnxG8HasR0J-pc76jKQ0fP9J_llnNwvFfBNdoMDvE_0xQUWONMhLAdpe-G7hXOJAoen6SgSQdw-6V-4wWxo5oDsnnVCd9KbwYEdOpz8BsWEPoafW7ZVtHXvWAoYqarDF4OO6oJ_TOElv8PG24cRUdEcq8l0R1WSOKDV34d5zvxE.9dJoNtSeIjZS2lb9m1qNXtwts6YeJAYvxTQOcOAMfAM&dib_tag=se&keywords=Java&qid=1725980810&s=books&sprefix=%2Cstripbooks-intl-ship%2C175&sr=1-16
"Core Java: Advanced Features, Volume 2 (Oracle Press Java)",Cay Horstmann,44.19,4.9,https://www.amazon.com/Core-Java-Advanced-Features-Oracle/dp/0137871074/ref=sr_1_26?crid=10WY3BHOH23YO&dib=eyJ2IjoiMSJ9.2vmW2ZQCtI40zpLfP4KwAlrAV4YmSKZRnv8hHsZO_o1nNxV2hyvmKGPJLkLBaYXvOgp3XVVmjoTb3ELUvCQ7SP2UjeQ4ewQnNU0fUOJIt98ktW7fL7im-UnAgoIGqbHiyb93NKdCvM7lZnnVX45AvzThER2m-9RFO5F_Xxzs-uE.HOhRxhaAWDwffKo2rTid2eWror_Q7F-0g67mYrmR8ms&dib_tag=se&keywords=Java&qid=1725980918&s=books&sprefix=%2Cstripbooks-intl-ship%2C175&sr=1-26
Core Java for the Impatient,Cay S. Horstmann,45.0,5.0,https://www.amazon.com/Core-Java-Impatient-Cay-Horstmann/dp/0138052107/ref=sr_1_23?crid=10WY3BHOH23YO&dib=eyJ2IjoiMSJ9.2vmW2ZQCtI40zpLfP4KwAlrAV4YmSKZRnv8hHsZO_o1nNxV2hyvmKGPJLkLBaYXvOgp3XVVmjoTb3ELUvCQ7SP2UjeQ4ewQnNU0fUOJIt98ktW7fL7im-UnAgoIGqbHiyb93NKdCvM7lZnnVX45AvzThER2m-9RFO5F_Xxzs-uE.HOhRxhaAWDwffKo2rTid2eWror_Q7F-0g67mYrmR8ms&dib_tag=se&keywords=Java&qid=1725980918&s=books&sprefix=%2Cstripbooks-intl-ship%2C175&sr=1-23
"Java: The Complete Reference, Thirteenth Edition",Herbert Schildt,45.68,4.8,https://www.amazon.com/Java-Complete-Reference-Thirteenth/dp/1265058431/ref=sr_1_2?crid=10WY3BHOH23YO&dib=eyJ2IjoiMSJ9.aaMxX7AxL-jwp6dar1HP7PdIio5bW-c-iIgjqsRrydv5hsCL3WJwbcGthFEY_YP-OnxG8HasR0J-pc76jKQ0fP9J_llnNwvFfBNdoMDvE_0xQUWONMhLAdpe-G7hXOJAoen6SgSQdw-6V-4wWxo5oDsnnVCd9KbwYEdOpz8BsWEPoafW7ZVtHXvWAoYqarDF4OO6oJ_TOElv8PG24cRUdEcq8l0R1WSOKDV34d5zvxE.9dJoNtSeIjZS2lb9m1qNXtwts6YeJAYvxTQOcOAMfAM&dib_tag=se&keywords=Java&qid=1725980810&s=books&sprefix=%2Cstripbooks-intl-ship%2C175&sr=1-2
Java: The Comprehensive Guide to Java Programming for Professionals (Rheinwerk Computing),Christian Ullenboom,46.2,4.5,https://www.amazon.com/Java-Comprehensive-Guide-Programming-Professionals/dp/1493222953/ref=sr_1_8?crid=10WY3BHOH23YO&dib=eyJ2IjoiMSJ9.aaMxX7AxL-jwp6dar1HP7PdIio5bW-c-iIgjqsRrydv5hsCL3WJwbcGthFEY_YP-OnxG8HasR0J-pc76jKQ0fP9J_llnNwvFfBNdoMDvE_0xQUWONMhLAdpe-G7hXOJAoen6SgSQdw-6V-4wWxo5oDsnnVCd9KbwYEdOpz8BsWEPoafW7ZVtHXvWAoYqarDF4OO6oJ_TOElv8PG24cRUdEcq8l0R1WSOKDV34d5zvxE.9dJoNtSeIjZS2lb9m1qNXtwts6YeJAYvxTQOcOAMfAM&dib_tag=se&keywords=Java&qid=1725980810&s=books&sprefix=%2Cstripbooks-intl-ship%2C175&sr=1-8
Learning Java: An Introduction to Real-World Programming with Java,Marc Loy,48.18,4.3,https://www.amazon.com/Learning-Java-Introduction-Real-World-Programming/dp/1098145534/ref=sr_1_7?crid=10WY3BHOH23YO&dib=eyJ2IjoiMSJ9.aaMxX7AxL-jwp6dar1HP7PdIio5bW-c-iIgjqsRrydv5hsCL3WJwbcGthFEY_YP-OnxG8HasR0J-pc76jKQ0fP9J_llnNwvFfBNdoMDvE_0xQUWONMhLAdpe-G7hXOJAoen6SgSQdw-6V-4wWxo5oDsnnVCd9KbwYEdOpz8BsWEPoafW7ZVtHXvWAoYqarDF4OO6oJ_TOElv8PG24cRUdEcq8l0R1WSOKDV34d5zvxE.9dJoNtSeIjZS2lb9m1qNXtwts6YeJAYvxTQOcOAMfAM&dib_tag=se&keywords=Java&qid=1725980810&s=books&sprefix=%2Cstripbooks-intl-ship%2C175&sr=1-7
"The Well-Grounded Java Developer, Second Edition",Benjamin Evans,50.99,4.9,https://www.amazon.com/Well-Grounded-Java-Developer-Second/dp/B0BTZ8D3S4/ref=sr_1_9?crid=10WY3BHOH23YO&dib=eyJ2IjoiMSJ9.aaMxX7AxL-jwp6dar1HP7PdIio5bW-c-iIgjqsRrydv5hsCL3WJwbcGthFEY_YP-OnxG8HasR0J-pc76jKQ0fP9J_llnNwvFfBNdoMDvE_0xQUWONMhLAdpe-G7hXOJAoen6SgSQdw-6V-4wWxo5oDsnnVCd9KbwYEdOpz8BsWEPoafW7ZVtHXvWAoYqarDF4OO6oJ_TOElv8PG24cRUdEcq8l0R1WSOKDV34d5zvxE.9dJoNtSeIjZS2lb9m1qNXtwts6YeJAYvxTQOcOAMfAM&dib_tag=se&keywords=Java&qid=1725980810&s=books&sprefix=%2Cstripbooks-intl-ship%2C175&sr=1-9
Learn Java with Projects: A concise practical guide to learning everything a Java professional really needs to know,Dr. Seán Kennedy,51.55,4.6,https://www.amazon.com/Learn-Java-Projects-everything-professional/dp/1837637180/ref=sr_1_11?crid=10WY3BHOH23YO&dib=eyJ2IjoiMSJ9.aaMxX7AxL-jwp6dar1HP7PdIio5bW-c-iIgjqsRrydv5hsCL3WJwbcGthFEY_YP-OnxG8HasR0J-pc76jKQ0fP9J_llnNwvFfBNdoMDvE_0xQUWONMhLAdpe-G7hXOJAoen6SgSQdw-6V-4wWxo5oDsnnVCd9KbwYEdOpz8BsWEPoafW7ZVtHXvWAoYqarDF4OO6oJ_TOElv8PG24cRUdEcq8l0R1WSOKDV34d5zvxE.9dJoNtSeIjZS2lb9m1qNXtwts6YeJAYvxTQOcOAMfAM&dib_tag=se&keywords=Java&qid=1725980810&s=books&sprefix=%2Cstripbooks-intl-ship%2C175&sr=1-11
Java in a Nutshell: A Desktop Quick Reference,Benjamin J Evans,57.22,4.3,https://www.amazon.com/Java-Nutshell-Desktop-Quick-Reference/dp/1098131002/ref=sr_1_18?crid=10WY3BHOH23YO&dib=eyJ2IjoiMSJ9.VaKxYuZ2NyPsmN8tQQTe1RgSlm7JKYGIKxdiaR_AsTb68uw05ZLlgG20A46-6TUpPmnhnYZUEzMsZUCWqy6XQg.jDjRwd9SIWwRYmSXnZMzd1zKk3IvzpKEaymrrAC7VUM&dib_tag=se&keywords=Java&qid=1725980918&s=books&sprefix=%2Cstripbooks-intl-ship%2C175&sr=1-18
"Java Coding Problems: Become an expert Java programmer by solving over 250 brand-new, modern, real-world problems",Anghel Leonard,63.54,4.4,https://www.amazon.com/Java-Coding-Problems-programmer-real-world/dp/1837633940/ref=sr_1_15?crid=10WY3BHOH23YO&dib=eyJ2IjoiMSJ9.aaMxX7AxL-jwp6dar1HP7PdIio5bW-c-iIgjqsRrydv5hsCL3WJwbcGthFEY_YP-OnxG8HasR0J-pc76jKQ0fP9J_llnNwvFfBNdoMDvE_0xQUWONMhLAdpe-G7hXOJAoen6SgSQdw-6V-4wWxo5oDsnnVCd9KbwYEdOpz8BsWEPoafW7ZVtHXvWAoYqarDF4OO6oJ_TOElv8PG24cRUdEcq8l0R1WSOKDV34d5zvxE.9dJoNtSeIjZS2lb9m1qNXtwts6YeJAYvxTQOcOAMfAM&dib_tag=se&keywords=Java&qid=1725980810&s=books&sprefix=%2Cstripbooks-intl-ship%2C175&sr=1-15
"Core Java, Volume II: Advanced Features (Oracle Press for Java)",Cay Horstmann,77.57,0.0,https://www.amazon.com/Core-Java-II-Advanced-Features/dp/0135371740/ref=sr_1_13?crid=10WY3BHOH23YO&dib=eyJ2IjoiMSJ9.aaMxX7AxL-jwp6dar1HP7PdIio5bW-c-iIgjqsRrydv5hsCL3WJwbcGthFEY_YP-OnxG8HasR0J-pc76jKQ0fP9J_llnNwvFfBNdoMDvE_0xQUWONMhLAdpe-G7hXOJAoen6SgSQdw-6V-4wWxo5oDsnnVCd9KbwYEdOpz8BsWEPoafW7ZVtHXvWAoYqarDF4OO6oJ_TOElv8PG24cRUdEcq8l0R1WSOKDV34d5zvxE.9dJoNtSeIjZS2lb9m1qNXtwts6YeJAYvxTQOcOAMfAM&dib_tag=se&keywords=Java&qid=1725980810&s=books&sprefix=%2Cstripbooks-intl-ship%2C175&sr=1-13
